,rsp_id,country,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_health_USD,govt_ngo_help,health_top_priority
1471,3527,SLV,3,1,,100.0,0,0
1474,3524,SLV,5,0,,1000.0,0,1
1475,3523,SLV,5,0,,60.0,0,0
1476,3522,SLV,4,1,,600.0,0,0
1477,3521,SLV,2,0,,20.0,0,0
1478,3520,SLV,5,0,,35.0,0,0
1495,3503,SLV,3,0,,150.0,0,0
1498,3500,SLV,5,0,,30.0,0,0
1499,3499,SLV,3,0,,300.0,0,1
1500,3498,SLV,2,0,,300.0,0,1
1521,3477,SLV,7,0,,30.0,0,0
1524,3474,SLV,3,0,,200.0,0,0
1525,3473,SLV,1,0,,20.0,0,0
1526,3472,SLV,6,0,,90.0,0,0
1528,3470,SLV,4,0,,750.0,0,0
1529,3469,SLV,5,1,,100.0,0,0
1530,3468,SLV,3,1,,80.0,0,0
1531,3467,SLV,5,0,,100.0,0,0
1534,3464,SLV,4,1,100.0,1980.0,0,0
1535,3463,SLV,5,1,100.0,400.0,0,1
1537,3461,SLV,5,1,,80.0,0,0
1538,3460,SLV,4,1,,88.0,0,0
1539,3459,SLV,2,1,20.0,60.0,0,0
1558,3440,SLV,5,0,,80.0,0,1
1559,3439,SLV,7,1,20.0,210.0,0,0
1566,3432,SLV,5,1,50.0,75.0,0,0
1567,3431,SLV,6,0,,15.0,0,0
1568,3430,SLV,5,0,,80.0,0,0
1569,3429,SLV,2,0,,30.0,0,0
1570,3428,SLV,4,0,,300.0,0,0
1571,3427,SLV,4,0,,600.0,0,1
1572,3426,SLV,5,0,,300.0,0,0
1573,3425,SLV,4,0,,500.0,0,0
1574,3424,SLV,4,1,50.0,400.0,0,0
1576,3422,SLV,7,1,,60.0,0,0
1577,3421,SLV,4,1,15.0,30.0,0,0
1578,3420,SLV,2,0,,120.0,0,0
1580,3418,SLV,2,0,,600.0,0,1
1581,3417,SLV,3,1,20.0,100.0,0,1
1584,3414,SLV,5,1,100.0,500.0,0,0
1585,3413,SLV,3,1,,400.0,0,0
1587,3411,SLV,7,1,100.0,60.0,0,0
1588,3410,SLV,4,1,,200.0,0,0
1589,3409,SLV,3,0,,50.0,0,0
1590,3408,SLV,5,1,,125.0,0,1
1591,3407,SLV,10,1,,10.0,0,1
1608,3390,SLV,4,0,,80.0,0,1
1610,3388,SLV,1,0,,15.0,0,0
1611,3387,SLV,3,0,,30.0,0,0
1612,3386,SLV,3,1,20.0,0.08405,0,0
1616,3382,SLV,5,1,,270.0,0,0
1617,3381,SLV,5,0,,1000.0,0,0
1618,3380,SLV,3,0,,50.0,0,0
1620,3378,SLV,6,0,,100.0,0,0
1621,3377,SLV,3,0,,500.0,0,0
1623,3375,SLV,5,1,100.0,200.0,0,1
1624,3374,SLV,6,0,,10.0,0,0
1626,3372,SLV,3,0,,200.0,0,0
1628,3370,SLV,4,0,,10.0,0,0
1629,3369,SLV,4,1,,40.0,0,0
1630,3368,SLV,3,1,100.0,100.0,0,0
1631,3367,SLV,2,0,,50.0,0,0
1632,3366,SLV,3,0,,40.0,0,0
1633,3365,SLV,1,0,,200.0,1,1
